,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,space 1,order_entry_time,order_entry_direction,order_price,order_quantity,space 2,long_position_entry_time,long_position_entry_direction,long_position_price,long_position_quantity,long_position_afford_range,long_position_liquidation,space 3,short_position_entry_time,short_position_entry_direction,short_position_price,short_position_quantity,short_position_afford_range,short_position_liquidation,LONG_Result,SHORT_Result,Property
0,2023-05-12 00:00:00,26968.61,27042.96,26922.54,27033.78,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 01:00:00,27033.78,27091.12,26850.0,26878.48,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 02:00:00,26878.48,26889.99,26539.28,26646.7,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 03:00:00,26646.7,26707.96,26528.01,26584.32,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 04:00:00,26584.33,26710.0,26513.18,26654.19,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 05:00:00,26654.19,26667.89,26177.0,26276.67,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 06:00:00,26276.68,26318.62,26120.74,26299.75,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 07:00:00,26299.74,26390.14,26265.18,26311.52,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 08:00:00,26311.51,26374.99,26234.79,26289.12,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 09:00:00,26289.12,26437.0,26289.12,26380.93,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 10:00:00,26380.92,26430.22,26334.17,26343.27,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 11:00:00,26343.28,26423.26,26322.01,26348.01,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 12:00:00,26348.02,26486.48,26324.02,26412.22,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 13:00:00,26412.23,26556.96,26358.89,26450.0,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2023-05-12 14:00:00,26450.0,26614.67,26292.1,26313.85,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 15:00:00,26313.84,26394.8,26271.65,26320.84,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 16:00:00,26320.83,26408.19,26241.07,26290.98,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 17:00:00,26290.99,26403.49,26277.21,26304.49,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 18:00:00,26304.48,26365.7,26299.29,26299.3,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 19:00:00,26299.29,26500.0,25811.46,26459.62,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 20:00:00,26459.63,26500.0,26360.85,26438.42,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 21:00:00,26438.42,26810.58,26438.41,26750.09,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 22:00:00,26750.1,26894.9,26637.42,26684.77,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-12 23:00:00,26684.78,26806.5,26657.04,26795.01,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 00:00:00,26795.01,26850.0,26692.03,26838.99,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 01:00:00,26838.99,26983.98,26785.66,26827.2,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 02:00:00,26827.2,26840.0,26764.17,26779.94,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 03:00:00,26779.95,26855.23,26772.58,26808.27,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 04:00:00,26808.27,26845.59,26752.83,26797.75,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 05:00:00,26797.75,26870.19,26737.59,26741.03,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 06:00:00,26741.02,26766.84,26712.87,26731.59,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 07:00:00,26731.58,26796.1,26695.41,26771.88,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 08:00:00,26771.87,26815.03,26746.53,26799.73,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 09:00:00,26799.74,26849.81,26790.0,26842.05,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 10:00:00,26842.05,26877.0,26765.61,26830.69,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 11:00:00,26830.68,26863.0,26796.92,26823.94,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 12:00:00,26823.93,26904.98,26763.51,26824.6,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 13:00:00,26824.6,26888.68,26782.58,26821.38,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 14:00:00,26821.38,26847.36,26736.0,26789.12,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 15:00:00,26789.12,26822.79,26760.69,26816.25,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 16:00:00,26816.25,26834.02,26782.29,26822.8,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 17:00:00,26822.8,26848.02,26792.53,26812.32,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 18:00:00,26812.31,27045.45,26757.32,26785.0,,,,,,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,,,,,,,,,8000.0
0,2023-05-13 19:00:00,26785.0,26958.13,26770.73,26837.94,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,,2023-05-12 14:00:00,多頭進場,26450.0,0.27,27625.555555555555,23511.11,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,25594.555555555555,29761.11,,,8000.0
0,2023-05-13 20:00:00,26837.93,26922.21,26836.71,26904.86,,2023-05-13 20:00:00,多頭進場,26837.93,0.27,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,25594.555555555555,29761.11,,,8000.0
0,2023-05-13 21:00:00,26904.86,26939.4,26853.3,26862.56,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,25594.555555555555,29761.11,,,8000.0
0,2023-05-13 22:00:00,26862.55,26899.67,26839.88,26889.94,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,25594.555555555555,29761.11,,,8000.0
0,2023-05-13 23:00:00,26889.95,26929.08,26750.0,26775.28,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-13 19:00:00,空頭進場,26785.0,0.27,25594.555555555555,29761.11,,,8000.0
0,2023-05-14 00:00:00,26775.27,26811.65,26560.53,26741.31,,2023-05-14 00:00:00,空頭進場,26775.27,0.27,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 01:00:00,26741.31,26751.96,26635.65,26730.0,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 02:00:00,26729.99,26839.73,26720.97,26810.64,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 03:00:00,26810.64,26874.42,26784.47,26865.03,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 04:00:00,26865.04,26876.94,26793.53,26825.87,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 05:00:00,26825.88,26849.89,26802.82,26828.49,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 06:00:00,26828.49,26898.87,26822.97,26843.29,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 07:00:00,26843.29,26873.66,26828.67,26855.21,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 08:00:00,26855.22,26886.73,26829.98,26845.53,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 09:00:00,26845.53,26868.73,26808.81,26842.53,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
0,2023-05-14 10:00:00,26842.53,26849.97,26814.35,26827.07,,,,,,,2023-05-13 20:00:00,多頭進場,26643.965,0.54,27828.14122222222,23683.52,,2023-05-14 00:00:00,空頭進場,26780.135000000002,0.54,25589.90677777778,29755.71,,,8000.0
