,Open Time,open,high,low,close,Close Time
0,2022-06-01 00:00:00,31801.05,31982.97,31614.01,31627.3,2022-06-01 03:59:59.999000064
1,2022-06-01 04:00:00,31627.29,31670.0,31371.45,31482.43,2022-06-01 07:59:59.999000064
2,2022-06-01 08:00:00,31482.42,31709.99,31444.0,31609.16,2022-06-01 11:59:59.999000064
3,2022-06-01 12:00:00,31609.15,31901.34,30600.0,30742.59,2022-06-01 15:59:59.999000064
4,2022-06-01 16:00:00,30742.59,30744.19,29901.29,30126.72,2022-06-01 19:59:59.999000064
5,2022-06-01 20:00:00,30126.71,30162.44,29301.0,29805.83,2022-06-01 23:59:59.999000064
6,2022-06-02 00:00:00,29805.84,29903.74,29594.55,29730.12,2022-06-02 03:59:59.999000064
7,2022-06-02 04:00:00,29730.12,30123.35,29650.93,29968.26,2022-06-02 07:59:59.999000064
8,2022-06-02 08:00:00,29968.27,30210.18,29865.0,30173.67,2022-06-02 11:59:59.999000064
9,2022-06-02 12:00:00,30173.66,30387.84,29597.01,30212.73,2022-06-02 15:59:59.999000064
10,2022-06-02 16:00:00,30212.73,30408.54,29977.45,30293.01,2022-06-02 19:59:59.999000064
11,2022-06-02 20:00:00,30293.0,30689.0,30235.7,30452.62,2022-06-02 23:59:59.999000064
12,2022-06-03 00:00:00,30452.63,30699.0,30359.54,30529.96,2022-06-03 03:59:59.999000064
13,2022-06-03 04:00:00,30529.96,30561.32,30282.29,30443.74,2022-06-03 07:59:59.999000064
14,2022-06-03 08:00:00,30443.7,30529.07,29680.0,29758.19,2022-06-03 11:59:59.999000064
15,2022-06-03 12:00:00,29758.2,29889.49,29282.36,29506.24,2022-06-03 15:59:59.999000064
16,2022-06-03 16:00:00,29506.25,29677.14,29401.0,29572.52,2022-06-03 19:59:59.999000064
17,2022-06-03 20:00:00,29572.52,29887.56,29558.3,29700.21,2022-06-03 23:59:59.999000064
18,2022-06-04 00:00:00,29700.21,29763.35,29500.0,29560.12,2022-06-04 03:59:59.999000064
19,2022-06-04 04:00:00,29560.12,29734.49,29546.78,29700.96,2022-06-04 07:59:59.999000064
20,2022-06-04 08:00:00,29700.96,29800.0,29594.91,29681.69,2022-06-04 11:59:59.999000064
21,2022-06-04 12:00:00,29681.68,29988.88,29485.0,29858.8,2022-06-04 15:59:59.999000064
22,2022-06-04 16:00:00,29858.79,29858.8,29613.26,29655.41,2022-06-04 19:59:59.999000064
23,2022-06-04 20:00:00,29655.41,29977.99,29632.05,29864.04,2022-06-04 23:59:59.999000064
24,2022-06-05 00:00:00,29864.03,29897.18,29678.5,29766.95,2022-06-05 03:59:59.999000064
25,2022-06-05 04:00:00,29766.95,29819.85,29645.67,29645.67,2022-06-05 07:59:59.999000064
26,2022-06-05 08:00:00,29645.68,29742.13,29531.42,29718.69,2022-06-05 11:59:59.999000064
27,2022-06-05 12:00:00,29718.69,29981.0,29626.65,29972.22,2022-06-05 15:59:59.999000064
28,2022-06-05 16:00:00,29972.23,30189.0,29761.0,30049.86,2022-06-05 19:59:59.999000064
29,2022-06-05 20:00:00,30049.85,30127.47,29815.75,29919.21,2022-06-05 23:59:59.999000064
30,2022-06-06 00:00:00,29919.2,31276.87,29890.23,31251.0,2022-06-06 03:59:59.999000064
31,2022-06-06 04:00:00,31250.99,31434.75,31148.43,31292.77,2022-06-06 07:59:59.999000064
32,2022-06-06 08:00:00,31292.76,31599.37,31281.0,31396.71,2022-06-06 11:59:59.999000064
33,2022-06-06 12:00:00,31396.72,31765.64,31162.55,31541.42,2022-06-06 15:59:59.999000064
34,2022-06-06 16:00:00,31541.41,31555.75,31000.01,31470.72,2022-06-06 19:59:59.999000064
35,2022-06-06 20:00:00,31470.72,31599.85,31272.39,31373.1,2022-06-06 23:59:59.999000064
36,2022-06-07 00:00:00,31373.1,31381.03,29218.96,29563.62,2022-06-07 03:59:59.999000064
37,2022-06-07 04:00:00,29563.61,29632.49,29401.0,29585.12,2022-06-07 07:59:59.999000064
38,2022-06-07 08:00:00,29585.12,29733.63,29345.0,29521.5,2022-06-07 11:59:59.999000064
39,2022-06-07 12:00:00,29521.51,30041.25,29401.44,29891.17,2022-06-07 15:59:59.999000064
40,2022-06-07 16:00:00,29891.17,31429.85,29747.62,31059.71,2022-06-07 19:59:59.999000064
41,2022-06-07 20:00:00,31059.71,31589.6,30300.0,31125.33,2022-06-07 23:59:59.999000064
42,2022-06-08 00:00:00,31125.32,31327.22,29843.88,30026.72,2022-06-08 03:59:59.999000064
43,2022-06-08 04:00:00,30026.71,30686.63,29872.55,30561.77,2022-06-08 07:59:59.999000064
44,2022-06-08 08:00:00,30561.77,30616.85,30336.81,30410.85,2022-06-08 11:59:59.999000064
45,2022-06-08 12:00:00,30410.85,30901.67,30051.16,30476.77,2022-06-08 15:59:59.999000064
46,2022-06-08 16:00:00,30476.77,30552.64,29916.45,30140.14,2022-06-08 19:59:59.999000064
47,2022-06-08 20:00:00,30140.14,30499.0,30102.86,30204.77,2022-06-08 23:59:59.999000064
48,2022-06-09 00:00:00,30204.77,30323.51,30070.24,30293.49,2022-06-09 03:59:59.999000064
49,2022-06-09 04:00:00,30293.5,30487.54,30235.85,30487.54,2022-06-09 07:59:59.999000064
50,2022-06-09 08:00:00,30487.53,30700.0,30251.89,30299.47,2022-06-09 11:59:59.999000064
51,2022-06-09 12:00:00,30299.46,30389.05,29944.1,30302.24,2022-06-09 15:59:59.999000064
52,2022-06-09 16:00:00,30302.23,30450.0,29976.0,30017.12,2022-06-09 19:59:59.999000064
53,2022-06-09 20:00:00,30017.12,30250.0,29970.51,30109.93,2022-06-09 23:59:59.999000064
54,2022-06-10 00:00:00,30109.93,30382.8,29578.96,30114.38,2022-06-10 03:59:59.999000064
55,2022-06-10 04:00:00,30114.38,30226.79,30042.13,30052.43,2022-06-10 07:59:59.999000064
56,2022-06-10 08:00:00,30052.44,30114.25,29868.0,30020.56,2022-06-10 11:59:59.999000064
57,2022-06-10 12:00:00,30020.56,30184.4,29222.67,29454.53,2022-06-10 15:59:59.999000064
58,2022-06-10 16:00:00,29454.52,29484.45,28850.0,28980.02,2022-06-10 19:59:59.999000064
59,2022-06-10 20:00:00,28980.03,29400.0,28970.0,29091.88,2022-06-10 23:59:59.999000064
60,2022-06-11 00:00:00,29091.87,29315.21,29047.93,29272.43,2022-06-11 03:59:59.999000064
61,2022-06-11 04:00:00,29272.43,29440.41,29251.17,29326.83,2022-06-11 07:59:59.999000064
62,2022-06-11 08:00:00,29326.83,29345.11,28590.0,28734.01,2022-06-11 11:59:59.999000064
63,2022-06-11 12:00:00,28734.01,28870.0,28251.0,28405.54,2022-06-11 15:59:59.999000064
64,2022-06-11 16:00:00,28405.55,28794.46,28099.99,28595.28,2022-06-11 19:59:59.999000064
65,2022-06-11 20:00:00,28595.27,28683.54,28250.04,28424.7,2022-06-11 23:59:59.999000064
66,2022-06-12 00:00:00,28424.71,28544.96,27249.0,27553.23,2022-06-12 03:59:59.999000064
67,2022-06-12 04:00:00,27553.22,27677.18,27190.0,27645.89,2022-06-12 07:59:59.999000064
68,2022-06-12 08:00:00,27645.88,27726.15,27342.82,27457.39,2022-06-12 11:59:59.999000064
69,2022-06-12 12:00:00,27457.39,28347.89,26890.0,28094.42,2022-06-12 15:59:59.999000064
70,2022-06-12 16:00:00,28094.42,28238.58,27423.73,27424.71,2022-06-12 19:59:59.999000064
71,2022-06-12 20:00:00,27424.71,27557.05,26560.0,26574.53,2022-06-12 23:59:59.999000064
72,2022-06-13 00:00:00,26574.53,26895.84,24900.0,25520.05,2022-06-13 03:59:59.999000064
73,2022-06-13 04:00:00,25520.05,26257.31,24555.0,24811.59,2022-06-13 07:59:59.999000064
74,2022-06-13 08:00:00,24811.59,24941.17,23500.0,23729.43,2022-06-13 11:59:59.999000064
