,index,Open Time,open,high,low,close,Close Time,EMA,RSI,BBL_70_1.6,BBM_70_1.6,BBU_70_1.6,BBB_70_1.6,BBP_70_1.6
0,1049,2020-07-01,9138.08,9292.0,9080.1,9232.0,2020-07-01 23:59:59.999000064,9043.56,43.64,8138.547697130634,9165.601571428557,10192.65544572648,22.411052156129127,0.48660169046761537
1,1050,2020-07-02,9231.99,9261.96,8940.0,9086.54,2020-07-02 23:59:59.999000064,9048.87,46.95,8246.79812534385,9195.6997142857,10144.60130322755,20.637942047361825,0.5191222599567824
2,1051,2020-07-03,9086.54,9125.0,9037.47,9058.26,2020-07-03 23:59:59.999000064,9049.93,42.71,8328.452152394091,9218.5937142857,10108.735276177309,19.311873144212672,0.425824318322427
3,1052,2020-07-04,9057.79,9190.0,9040.04,9135.46,2020-07-04 23:59:59.999000064,9050.15,41.9,8413.340942319652,9240.776428571415,10068.211914823178,17.9083541874994,0.3894255615018808
4,1053,2020-07-05,9135.0,9145.24,8893.03,9069.41,2020-07-05 23:59:59.999000064,9052.54,44.97,8503.431781760446,9263.575999999986,10023.720218239527,16.411463958185077,0.4154265750400874
5,1054,2020-07-06,9069.41,9375.0,9055.92,9344.2,2020-07-06 23:59:59.999000064,9053.01,42.87,8584.661326845306,9283.237571428559,9981.813816011812,15.050271830450468,0.34695473608888505
6,1055,2020-07-07,9342.47,9379.42,9203.0,9257.39,2020-07-07 23:59:59.999000064,9061.17,52.88,8670.439059551807,9305.651285714272,9940.863511876736,13.652182027014517,0.5289814275995303
7,1056,2020-07-08,9257.4,9470.0,9231.0,9436.06,2020-07-08 23:59:59.999000064,9066.7,49.91,8768.273036496883,9327.348714285701,9886.42439207452,11.987879834117102,0.4374425350049627
8,1057,2020-07-09,9436.06,9440.79,9160.0,9232.43,2020-07-09 23:59:59.999000064,9077.1,55.63,8787.415702885784,9336.741285714274,9886.066868542763,11.766965925659468,0.5904005906427403
9,1058,2020-07-10,9232.42,9317.48,9125.0,9288.34,2020-07-10 23:59:59.999000064,9081.48,48.71,8813.349890911335,9345.490142857132,9877.630394802929,11.388172130330009,0.39375907719470066
10,1059,2020-07-11,9288.34,9299.28,9178.25,9234.03,2020-07-11 23:59:59.999000064,9087.3,50.55,8829.319853253533,9352.099714285703,9874.879575317873,11.17994625813501,0.4390185821620819
11,1060,2020-07-12,9234.02,9345.0,9157.5,9302.75,2020-07-12 23:59:59.999000064,9091.44,48.7,8837.659496246804,9355.83457142856,9874.009646610317,11.077046547278467,0.3824580945100146
12,1061,2020-07-13,9303.31,9343.82,9200.89,9242.62,2020-07-13 23:59:59.999000064,9097.4,51.19,8851.068764481066,9361.679714285703,9872.29066409034,10.908532771644747,0.4428432603060743
13,1062,2020-07-14,9242.61,9279.54,9113.0,9255.85,2020-07-14 23:59:59.999000064,9101.49,48.92,8864.582952489303,9366.975285714274,9869.367618939244,10.726884995440892,0.37622692715477535
14,1063,2020-07-15,9255.85,9276.49,9160.57,9197.6,2020-07-15 23:59:59.999000064,9105.84,49.46,8871.87505585801,9370.325142857131,9868.775229856252,10.638906962136362,0.3851689007154966
15,1064,2020-07-16,9197.6,9226.15,9047.25,9133.72,2020-07-16 23:59:59.999000064,9108.43,47.1,8873.446156619322,9371.099428571417,9868.752700523512,10.621022127559684,0.32568241951786264
16,1065,2020-07-17,9133.72,9186.83,9089.81,9154.32,2020-07-17 23:59:59.999000064,9109.14,44.56,8873.637811041748,9358.919714285701,9844.201617529654,10.370468345896928,0.2679702119733764
17,1066,2020-07-18,9154.31,9219.3,9121.1,9170.28,2020-07-18 23:59:59.999000064,9110.41,45.59,8870.429097023647,9349.695285714273,9828.9614744049,10.25201729136379,0.29616203862818496
18,1067,2020-07-19,9170.3,9232.27,9101.35,9208.99,2020-07-19 23:59:59.999000064,9112.1,46.43,8865.375551107682,9344.426714285702,9823.477877463723,10.253195360730915,0.31825875014001825
19,1068,2020-07-20,9208.99,9221.52,9131.0,9160.78,2020-07-20 23:59:59.999000064,9114.83,48.54,8886.717948687867,9351.372714285702,9816.027479883538,9.937680376871343,0.34678655549512155
