time,open,high,low,close,EMA,Smoothing Line,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1502928000,4261.48,4485.39,4200.74,4285.08,NaN,NaN,795.150377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503014400,4285.08,4371.52,3938.77,4108.37,NaN,NaN,1199.888264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503100800,4108.37,4184.69,3850,4139.98,NaN,NaN,381.309763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503187200,4120.98,4211.08,4032.62,4086.29,NaN,NaN,467.083022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503273600,4069.13,4119.62,3911.79,4016,NaN,NaN,691.74306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503360000,4016,4104.82,3400,4040,NaN,NaN,966.684858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503446400,4040,4265.8,4013.89,4114.01,NaN,NaN,1001.136565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503532800,4147,4371.68,4085.01,4316.01,NaN,NaN,787.418753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503619200,4316.01,4453.91,4247.48,4280.68,NaN,NaN,573.61274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503705600,4280.71,4367,4212.41,4337.44,NaN,NaN,228.108068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503792000,4332.51,4400,4285.54,4310.01,NaN,NaN,350.692585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503878400,4310.01,4399.82,4124.54,4386.69,NaN,NaN,603.841616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1503964800,4353.65,4625.85,4313.55,4587.48,NaN,NaN,603.545028,NaN,NaN,NaN,NaN,64.68959487030023,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
1504051200,4564.52,4647.51,4416.01,4555.14,NaN,NaN,808.468771,NaN,NaN,NaN,NaN,62.54579270698309,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,50
