,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2019-02-01 00:00:00,3434.1,3488.0,3401.2,3462.07,4001.8,38.32,,,,,3000.0,,,,,,,8000.0
0,2019-02-02 00:00:00,3462.2,3526.4,3440.29,3504.77,3986.6,41.14,,,,,3000.0,,,,,,,8000.0
0,2019-02-03 00:00:00,3504.06,3511.09,3426.0,3458.11,3973.01,45.22,,,,,3000.0,,,,,,,8000.0
0,2019-02-04 00:00:00,3458.11,3484.88,3433.31,3463.22,3958.51,41.76,,,,,3000.0,,,,,,,8000.0
0,2019-02-05 00:00:00,3463.22,3478.97,3448.43,3471.59,3944.55,42.29,,,,,3000.0,,,,,,,8000.0
0,2019-02-06 00:00:00,3471.57,3482.72,3380.0,3405.37,3931.23,43.23,,,,,3000.0,,,,,,,8000.0
0,2019-02-07 00:00:00,3407.0,3426.45,3390.0,3398.4,3916.46,38.04,,,,,3000.0,,,,,,,8000.0
0,2019-02-08 00:00:00,3398.4,3733.58,3373.1,3659.04,3901.87,37.39,,,,,3000.0,,,,,,,8000.0
0,2019-02-09 00:00:00,3660.27,3680.02,3625.13,3665.18,3895.06,60.09,,,,,3000.0,,,,,,,8000.0
0,2019-02-10 00:00:00,3665.18,3684.99,3609.76,3680.06,3888.59,60.39,,,,,3000.0,,,,,,,8000.0
0,2019-02-11 00:00:00,3679.75,3684.9,3615.53,3631.05,3882.71,61.31,,,,,3000.0,,,,,,,8000.0
0,2019-02-12 00:00:00,3631.05,3667.6,3582.34,3631.46,3875.62,56.51,,,,,3000.0,,,,,,,8000.0
0,2019-02-13 00:00:00,3631.51,3670.0,3591.75,3609.4,3868.74,56.55,,,,,3000.0,,,,,,,8000.0
0,2019-02-14 00:00:00,3608.34,3626.4,3568.11,3590.56,3861.41,54.15,,,,,3000.0,,,,,,,8000.0
0,2019-02-15 00:00:00,3590.57,3653.23,3573.45,3602.47,3853.78,52.3,,,,,3000.0,,,,,,,8000.0
0,2019-02-16 00:00:00,3602.49,3648.2,3597.91,3618.41,3846.7,53.46,,,,,3000.0,,,,,,,8000.0
0,2019-02-17 00:00:00,3617.22,3700.11,3604.4,3667.58,3840.23,54.95,,,,,3000.0,,,,,,,8000.0
0,2019-02-18 00:00:00,3667.62,3925.0,3655.0,3898.6,3835.37,59.74,,,,,3000.0,,,,,,,8000.0
0,2019-02-19 00:00:00,3897.35,3994.52,3856.0,3907.79,3837.12,73.67,,,,,3000.0,,,,,,,8000.0
0,2019-02-20 00:00:00,3907.35,3986.98,3870.66,3969.74,3839.1,74.1,,,,,3000.0,,,,,,,8000.0
0,2019-02-21 00:00:00,3969.74,4016.48,3901.03,3937.31,3842.78,76.67,,,,,3000.0,,,,,,,8000.0
0,2019-02-22 00:00:00,3937.31,3988.0,3926.65,3962.0,3845.44,72.59,,,,,3000.0,,,,,,,8000.0
0,2019-02-23 00:00:00,3962.0,4162.02,3933.15,4117.76,3848.72,73.75,,,,,3000.0,,,,,,,8000.0
0,2019-02-24 00:00:00,4118.0,4198.0,3712.66,3743.56,3856.31,79.68,,,,,3000.0,,,,,,,8000.0
0,2019-02-25 00:00:00,3743.56,3872.66,3740.0,3827.92,3853.13,50.07,,,,,3000.0,,,,,,,8000.0
0,2019-02-26 00:00:00,3828.44,3841.51,3777.0,3809.23,3852.44,54.27,,,,,3000.0,,,,,,,8000.0
0,2019-02-27 00:00:00,3809.31,3838.85,3677.17,3818.07,3851.22,53.17,,,,,3000.0,,,,,,,8000.0
0,2019-02-28 00:00:00,3818.04,3888.0,3763.87,3813.69,3850.29,53.64,,,,,3000.0,,,,,,,8000.0
0,2019-03-01 00:00:00,3814.26,3857.0,3813.01,3823.0,3849.27,53.38,,,,,3000.0,,,,,,,8000.0
0,2019-03-02 00:00:00,3822.17,3841.31,3772.25,3819.93,3848.51,53.88,,,,,3000.0,,,,,,,8000.0
0,2019-03-03 00:00:00,3819.97,3835.0,3781.32,3807.75,3847.7,53.71,,,,,5500.0,,,,,,,13000.0
0,2019-03-04 00:00:00,3807.32,3830.0,3670.69,3715.3,3846.57,52.65,,,,,5500.0,,,,,,,13000.0
0,2019-03-05 00:00:00,3716.1,3877.1,3703.55,3857.73,3842.89,45.57,,,,,5500.0,,,,,,,13000.0
0,2019-03-06 00:00:00,3857.58,3907.0,3813.09,3861.84,3843.31,55.65,,,,,5500.0,,,,,,,13000.0
0,2019-03-07 00:00:00,3861.84,3905.4,3840.4,3873.64,3843.83,55.92,,,,,5500.0,,,,,,,13000.0
0,2019-03-08 00:00:00,3873.63,3932.0,3800.0,3864.89,3844.67,56.71,,,,,5500.0,,,,,,,13000.0
0,2019-03-09 00:00:00,3864.88,3971.75,3854.75,3943.04,3845.24,55.9,,,,,5500.0,,,,,,,13000.0
0,2019-03-10 00:00:00,3943.43,3943.43,3881.69,3916.82,3848.0,61.32,,,,,5500.0,,,,,,,13000.0
0,2019-03-11 00:00:00,3915.99,3936.98,3830.0,3871.61,3849.92,58.58,,,,,5500.0,,,,,,,13000.0
0,2019-03-12 00:00:00,3871.61,3905.2,3826.06,3882.73,3850.53,54.29,,,,,5500.0,,,,,,,13000.0
0,2019-03-13 00:00:00,3882.69,3893.56,3840.0,3866.0,3851.43,55.18,,,,,5500.0,,,,,,,13000.0
0,2019-03-14 00:00:00,3866.0,3920.0,3810.43,3877.12,3851.84,53.47,,,,,5500.0,,,,,,,13000.0
0,2019-03-15 00:00:00,3877.12,3939.22,3872.2,3923.76,3852.56,54.5,,,,,5500.0,,,,,,,13000.0
0,2019-03-16 00:00:00,3924.46,4056.98,3921.98,4005.98,3854.58,58.73,,,,,5500.0,,,,,,,13000.0
0,2019-03-17 00:00:00,4005.98,4012.0,3950.01,3981.14,3858.85,64.88,,,,,5500.0,,,,,,,13000.0
0,2019-03-18 00:00:00,3981.85,4037.0,3953.33,3987.81,3862.31,61.9,,,,,5500.0,,,,,,,13000.0
0,2019-03-19 00:00:00,3987.83,4031.0,3970.0,4015.53,3865.85,62.37,,,,,5500.0,,,,,,,13000.0
0,2019-03-20 00:00:00,4017.48,4050.0,3980.5,4043.04,3870.12,64.71,,,,,5500.0,,,,,,,13000.0
